,Address.City,0
944,St-Martin,1
945,St-Romain,1
946,St. Antönien,1
947,St. Florian am Inn,1
948,St. Gallen,39
949,St. Georgen bei Grieskirchen,1
950,St. Margrethen,2
951,St. Moritz,7
952,St.Gallen,6
953,St.Gallenkappel,1
954,St.Margrethen,1
955,Stabio,2
956,Stans,11
957,Stansstad,1
958,Stechelberg,1
959,Steffisburg,3
960,Steg,1
961,Steg-Hohtenn,1
962,Stein,3
963,Steinach,2
964,Steinerberg,1
965,Steinhausen,10
966,Stettlen,2
967,Stollberg/Erzgeb.,1
968,Stoos,1
969,Studen BE,1
970,Stäfa,1
971,Subingen,1
972,Suhr,2
973,Sulgen,2
974,Sumiswald,2
975,Sursee,10
976,Susten,1
977,Sâles,2
978,Tafers,1
979,Taverne,1
980,Tegna,1
981,Tenniken BL,5
982,Tennwil,1
983,Termen,1
984,Tesserete,2
985,Teufen,3
986,Thal,1
987,Thalwil,2
988,Thayngen,1
989,Therwil,3
990,Thun,27
991,Thusis,4
992,Thyon,1
993,Thyon - Les Collons,1
994,Thônex,5
995,Tiefencastel,1
996,Torricella-Taverne,2
997,Tramelan,3
998,Triengen,1
999,Triesen,2
1000,Trogen,1
1001,Trubschachen,2
1002,Trun,1
1003,Trübbach,1
1004,Tschierv,1
1005,Tumeltsham,5
1006,Turbenthal,2
1007,Turgi,2
1008,Tägerwilen,6
1009,Täsch,1
1010,Unterentfelden,4
1011,Unteriberg,1
1012,Unterkulm,1
1013,Untersiggenthal,1
1014,Untervaz,1
1015,Unterägeri,1
1016,Urnäsch,2
1017,Ursenbach,4
1018,Ursy,1
1019,Urtenen-Schönbühl,3
1020,Uster,8
1021,Utzenstorf,2
1022,Utzigen,1
1023,Uznach,2
1024,Vacallo,1
1025,Val-d'Illiez,2
1026,Val-de-Travers,3
1027,Vallorbe,4
1028,Vals,1
1029,Vandoeuvres,1
1030,Varen,1
1031,Vendlincourt,1
1032,Venthône,1
1033,Verbier,3
1034,Vercorin,2
1035,Vernamiège,1
1036,Vernate,1
1037,Vernayaz,1
1038,Vernier,7
1039,Versoix,9
1040,Vevey,7
1041,Vex,1
1042,Veyras,1
1043,Veysonnaz,2
1044,Vezia,1
1045,Vich,1
1046,Villa Luganese,1
1047,Villars-sous-Yens,1
1048,Villars-sur-Glâne,7
1049,Villars-sur-Ollon,1
1050,Villaz-Saint-Pierre,1
1051,Villeneuve,2
1052,Villmergen,4
1053,Villnachern,1
1054,Vilters-Wangs,1
1055,Vionnaz,2
1056,Visp,1
1057,Visperterminen,2
1058,Visselhövede Hiddingen,2
1059,Vitznau,2
1060,Volketswil,4
1061,Vollèges,2
1062,Vordemwald,1
1063,Vulpera,1
1064,Vésenaz,1
1065,Vétroz,5
1066,Walchwil,1
1067,Wald,3
1068,Waldkirch,1
1069,Waldstatt,1
1070,Walenstadt,3
1071,Wallisellen,2
1072,Walperswil,1
1073,Wangen-Brüttisellen,1
1074,Wangs,4
1075,Wattwil,3
1076,Weesen,2
1077,Weggis,1
1078,Weinfelden,3
1079,Weiningen ZH,1
1080,Weissbad,2
1081,Wettingen,2
1082,Wetzikon,4
1083,Widen,2
1084,Wil,16
1085,Wilderswil,1
1086,Wildhaus,2
1087,Willisau,4
1088,Windisch,2
1089,Winterthur,13
1090,Winterthur ,1
1091,Winznau,1
1092,Wittenbach,3
1093,Wohlen,4
1094,Wolfenschiessen,1
1095,Wolhusen,1
1096,Worb,2
1097,Wyssachen,1
1098,Wädenswil,2
1099,Wäldi,1
1100,Wünnewil-Flamatt,1
1101,Würenlingen,1
1102,Yverdon-les-Bains,14
1103,Yvonand,1
1104,Zeneggen,2
1105,Zernez,4
1106,Ziegelbrücke,3
1107,Zillis,1
1108,Zinal,2
1109,Zizers,2
1110,Zofingen,1
1111,Zollikon,3
1112,Zuchwil,4
1113,Zug,21
1114,Zumikon,1
1115,Zuoz,2
1116,Zuzwil,3
1117,Zweidlen,1
1118,Zweisimmen,6
1119,Zürich,39
