,City,2017,2018,2019,2020,2021,2022_pred,2023_pred,2024_pred,Count,recomm_2022,diff_2022,recomm_2023,diff_2023,recomm_2024,diff_2024
152,Brione sopra Minusio,4.0,3.0,3.0,6.0,9.0,12.0,16.0,20.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
153,Brislach,3.0,4.0,5.0,7.0,10.0,14.0,18.0,25.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
154,Brissago,5.0,5.0,5.0,9.0,12.0,15.0,20.0,25.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
155,Broc,1.0,0.0,1.0,2.0,9.0,inf,inf,inf,2.0,inf,inf,,,,
156,Brugg,25.0,24.0,61.0,51.0,93.0,143.0,221.0,340.0,4.0,6.0,2.0,9.0,3.0,14.0,5.0
157,Brugg AG,,,,,,,,,1.0,,,,,,
158,Brunnadern,,,,,,,,,1.0,,,,,,
159,Brunnen,,,,,,,,,2.0,,,,,,
160,Brusino Arsizio,0.0,0.0,0.0,1.0,2.0,,,,1.0,,,,,,
161,Brusio,1.0,1.0,1.0,3.0,4.0,6.0,10.0,16.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
162,Bruzella,,,,,,,,,1.0,,,,,,
163,Brè sopra Lugano,,,,,,,,,1.0,,,,,,
164,Brügg,7.0,8.0,13.0,18.0,29.0,42.0,60.0,87.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
165,Brüttisellen,,,,,,,,,1.0,,,,,,
166,Buchrain,5.0,6.0,10.0,22.0,40.0,69.0,119.0,204.0,13.0,22.0,9.0,38.0,16.0,65.0,27.0
167,Buchs,,,,,,,,,14.0,,,,,,
168,Buchs AG,,,,,,,,,1.0,,,,,,
169,Budapest,,,,,,,,,1.0,,,,,,
170,Bulle,18.0,19.0,39.0,75.0,158.0,282.0,503.0,898.0,6.0,11.0,5.0,20.0,9.0,36.0,16.0
171,Burgdorf,18.0,26.0,43.0,60.0,97.0,148.0,226.0,346.0,4.0,6.0,2.0,9.0,3.0,14.0,5.0
172,Bursinel,1.0,3.0,3.0,5.0,9.0,17.0,31.0,59.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
173,Bursins,2.0,2.0,6.0,10.0,18.0,34.0,63.0,117.0,3.0,6.0,3.0,11.0,5.0,20.0,9.0
174,Bussigny,3.0,5.0,10.0,37.0,77.0,182.0,430.0,1015.0,5.0,12.0,7.0,28.0,16.0,66.0,38.0
175,Bussigny VD,,,,,,,,,3.0,,,,,,
176,Bâle Steinen,,,,,,,,,1.0,,,,,,
177,Bäch SZ,,,,,,,,,2.0,,,,,,
178,Bärau,,,,,,,,,2.0,,,,,,
179,Bôle,,,,,,,,,1.0,,,,,,
180,Böckten,4.0,8.0,10.0,12.0,15.0,21.0,30.0,43.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
181,Bösingen,2.0,3.0,8.0,15.0,24.0,46.0,88.0,167.0,2.0,4.0,2.0,8.0,4.0,15.0,7.0
182,Bözen,0.0,2.0,1.0,2.0,8.0,inf,inf,inf,1.0,inf,inf,,,,
183,Büetigen,1.0,1.0,2.0,6.0,13.0,27.0,54.0,111.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
184,Bülach,32.0,49.0,74.0,92.0,151.0,224.0,331.0,491.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
185,Büren an der Aare,5.0,8.0,11.0,11.0,17.0,23.0,32.0,45.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
