,City,2017,2018,2019,2020,2021,2022_pred,2023_pred,2024_pred,Count,recomm_2022,recomm_2023,recom_2024
142,Luzern,187,183,247,381,528,694.0,912.0,1198.0,19.0,25.0,33.0,43.0
143,Meggen,33,34,52,69,112,154.0,213.0,293.0,1.0,1.0,1.0,1.0
144,Root,7,8,12,20,37,57.0,88.0,135.0,2.0,3.0,5.0,8.0
145,Vitznau,8,8,13,17,20,26.0,33.0,42.0,2.0,3.0,4.0,5.0
146,Weggis,10,14,20,32,45,66.0,96.0,140.0,1.0,1.0,1.0,1.0
147,Eich,7,10,16,23,35,52.0,78.0,117.0,1.0,1.0,2.0,3.0
148,Nottwil,4,7,13,21,33,56.0,95.0,162.0,4.0,7.0,12.0,20.0
149,Oberkirch,6,11,19,36,63,113.0,204.0,368.0,5.0,9.0,16.0,29.0
150,Ruswil,11,23,28,36,65,104.0,166.0,266.0,4.0,6.0,10.0,16.0
151,Schenkon,7,10,19,29,41,64.0,101.0,158.0,2.0,3.0,5.0,8.0
152,Sempach,7,8,12,19,33,49.0,73.0,109.0,3.0,4.0,6.0,9.0
153,Sursee,22,38,64,93,153,249.0,405.0,659.0,10.0,16.0,26.0,42.0
154,Triengen,13,15,22,28,43,58.0,79.0,108.0,1.0,1.0,1.0,1.0
155,Wolhusen,2,5,14,18,27,55.0,110.0,223.0,1.0,2.0,4.0,8.0
156,Egolzwil,5,6,8,12,18,25.0,34.0,48.0,1.0,1.0,1.0,1.0
157,Hergiswil bei Willisau,0,1,2,3,10,inf,inf,inf,1.0,inf,,
158,Menznau,3,6,7,19,23,41.0,72.0,128.0,1.0,2.0,4.0,7.0
159,Pfaffnau,1,1,4,11,21,51.0,122.0,296.0,1.0,2.0,5.0,12.0
160,Schötz,8,11,13,19,29,40.0,56.0,77.0,1.0,1.0,1.0,1.0
161,Willisau,8,10,17,22,44,69.0,107.0,167.0,4.0,6.0,9.0,14.0
162,Andermatt,2,3,2,2,8,14.0,26.0,46.0,1.0,2.0,4.0,7.0
163,Erstfeld,6,6,8,8,14,18.0,23.0,29.0,4.0,5.0,6.0,8.0
164,Flüelen,1,2,4,8,13,25.0,47.0,90.0,2.0,4.0,8.0,15.0
165,Schattdorf,3,3,5,11,30,57.0,108.0,205.0,4.0,8.0,15.0,28.0
166,Seelisberg,6,6,6,7,8,9.0,9.0,10.0,1.0,1.0,1.0,1.0
167,Sisikon,0,1,1,1,4,inf,inf,inf,2.0,inf,,
168,Einsiedeln,37,50,67,100,138,192.0,267.0,371.0,1.0,1.0,1.0,1.0
169,Gersau,1,3,5,12,21,46.0,102.0,225.0,1.0,2.0,4.0,9.0
170,Freienbach,71,99,144,228,301,433.0,623.0,895.0,1.0,1.0,1.0,1.0
171,Altendorf,24,32,53,80,112,165.0,244.0,359.0,3.0,4.0,6.0,9.0
172,Galgenen,5,5,14,25,38,68.0,120.0,213.0,1.0,2.0,4.0,7.0
173,Illgau,1,1,0,0,0,,,,1.0,,,
174,Muotathal,2,4,6,12,19,34.0,60.0,106.0,2.0,4.0,7.0,12.0
175,Oberiberg,5,5,9,9,9,11.0,13.0,16.0,1.0,1.0,1.0,1.0
176,Rothenthurm,0,0,0,2,5,,,,1.0,,,
177,Sattel,1,4,7,9,11,23.0,47.0,97.0,1.0,2.0,4.0,8.0
178,Schwyz,44,58,78,104,140,187.0,250.0,334.0,8.0,11.0,15.0,20.0
179,Steinen,11,10,15,17,27,35.0,44.0,57.0,3.0,4.0,5.0,6.0
180,Steinerberg,3,7,10,12,15,23.0,36.0,56.0,1.0,2.0,3.0,5.0
181,Unteriberg,1,1,3,4,13,28.0,60.0,128.0,1.0,2.0,4.0,9.0
182,Alpnach,5,9,18,21,31,50.0,80.0,130.0,1.0,2.0,3.0,5.0
183,Engelberg,8,13,13,16,26,36.0,49.0,67.0,3.0,4.0,5.0,7.0
184,Giswil,2,4,9,14,22,41.0,75.0,138.0,1.0,2.0,4.0,7.0
